Date,Price,Open,High,Low,Vol.,Change %
1/3/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
1/4/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
1/5/2002,,,,,,
1/6/2002,,,,,,
1/7/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
1/8/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
1/9/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
1/10/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
1/11/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
1/12/2002,,,,,,
1/13/2002,,,,,,
1/14/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
1/15/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
1/16/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
1/17/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
1/18/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
1/19/2002,,,,,,
1/20/2002,,,,,,
1/21/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
1/22/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
1/23/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
1/24/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
1/25/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
1/26/2002,,,,,,
1/27/2002,,,,,,
1/28/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
1/29/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
1/30/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
1/31/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
2/1/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
2/2/2002,,,,,,
2/3/2002,,,,,,
2/4/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
2/5/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
2/6/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
2/7/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
2/8/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
2/9/2002,,,,,,
2/10/2002,,,,,,
2/11/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
2/12/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
2/13/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
2/14/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
2/15/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
2/16/2002,,,,,,
2/17/2002,,,,,,
2/18/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
2/19/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
2/20/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
2/21/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
2/22/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
2/23/2002,,,,,,
2/24/2002,,,,,,
2/25/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
2/26/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
2/27/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
2/28/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
3/1/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
3/2/2002,,,,,,
3/3/2002,,,,,,
3/4/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
3/5/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
3/6/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
3/7/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
3/8/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
3/9/2002,,,,,,
3/10/2002,,,,,,
3/11/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
3/12/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
3/13/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
3/14/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
3/15/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
3/16/2002,,,,,,
3/17/2002,,,,,,
3/18/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
3/19/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
3/20/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
3/21/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
3/22/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
3/23/2002,,,,,,
3/24/2002,,,,,,
3/25/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
3/26/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
3/27/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
3/28/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
3/29/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
3/30/2002,,,,,,
3/31/2002,,,,,,
4/1/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
4/2/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
4/3/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
4/4/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
4/5/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
4/6/2002,,,,,,
4/7/2002,,,,,,
4/8/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
4/9/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
4/10/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
4/11/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
4/12/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
4/13/2002,,,,,,
4/14/2002,,,,,,
4/15/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
4/16/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
4/17/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
4/18/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
4/19/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
4/20/2002,,,,,,
4/21/2002,,,,,,
4/22/2002,3835,"3,835.00","3,835.00","3,835.00",,0.00%
