Date,Price
1/3/2002,3835.00
1/4/2002,3835.00
1/5/2002,
1/6/2002,
1/7/2002,3835.00
1/8/2002,3835.00
1/9/2002,3835.00
1/10/2002,3835.00
1/11/2002,3835.00
1/12/2002,
1/13/2002,
1/14/2002,3835.00
1/15/2002,3835.00
1/16/2002,3835.00
1/17/2002,3835.00
1/18/2002,3835.00
1/19/2002,
1/20/2002,
1/21/2002,3835.00
1/22/2002,3835.00
1/23/2002,3835.00
1/24/2002,3835.00
1/25/2002,3835.00
1/26/2002,
1/27/2002,
1/28/2002,3835.00
1/29/2002,3835.00
1/30/2002,3835.00
1/31/2002,3835.00
2/1/2002,3835.00
2/2/2002,
2/3/2002,
2/4/2002,3835.00
2/5/2002,3835.00
2/6/2002,3835.00
2/7/2002,3835.00
2/8/2002,3835.00
2/9/2002,
2/10/2002,
2/11/2002,3835.00
2/12/2002,3835.00
2/13/2002,3835.00
2/14/2002,3835.00
2/15/2002,3835.00
2/16/2002,
2/17/2002,
2/18/2002,3835.00
2/19/2002,3835.00
2/20/2002,3835.00
2/21/2002,3835.00
2/22/2002,3835.00
2/23/2002,
2/24/2002,
2/25/2002,3835.00
2/26/2002,3835.00
2/27/2002,3835.00
2/28/2002,3835.00
3/1/2002,3835.00
3/2/2002,
3/3/2002,
3/4/2002,3835.00
3/5/2002,3835.00
3/6/2002,3835.00
3/7/2002,3835.00
3/8/2002,3835.00
3/9/2002,
3/10/2002,
3/11/2002,3835.00
3/12/2002,3835.00
3/13/2002,3835.00
3/14/2002,3835.00
3/15/2002,3835.00
3/16/2002,
3/17/2002,
3/18/2002,3835.00
3/19/2002,3835.00
3/20/2002,3835.00
3/21/2002,3835.00
3/22/2002,3835.00
3/23/2002,
3/24/2002,
3/25/2002,3835.00
3/26/2002,3835.00
3/27/2002,3835.00
3/28/2002,3835.00
3/29/2002,3835.00
3/30/2002,
3/31/2002,
4/1/2002,3835.00
4/2/2002,3835.00
4/3/2002,3835.00
4/4/2002,3835.00
4/5/2002,3835.00
4/6/2002,
4/7/2002,
4/8/2002,3835.00
4/9/2002,3835.00
4/10/2002,3835.00
4/11/2002,3835.00
4/12/2002,3835.00
4/13/2002,
4/14/2002,
4/15/2002,3835.00
4/16/2002,3835.00
4/17/2002,3835.00
4/18/2002,3835.00
4/19/2002,3835.00
4/20/2002,
4/21/2002,
4/22/2002,3835.00
4/23/2002,3835.00
4/24/2002,3835.00
4/25/2002,3835.00
4/26/2002,3835.00
4/27/2002,
4/28/2002,
4/29/2002,3835.00
4/30/2002,3835.00
5/1/2002,3835.00
5/2/2002,3835.00
5/3/2002,3835.00
5/4/2002,
5/5/2002,
5/6/2002,3835.00
5/7/2002,3835.00
5/8/2002,3835.00
5/9/2002,3835.00
5/10/2002,3835.00
5/11/2002,
5/12/2002,
5/13/2002,3835.00
5/14/2002,3835.00
5/15/2002,3835.00
5/16/2002,3835.00
5/17/2002,3835.00
5/18/2002,
5/19/2002,
5/20/2002,3835.00
5/21/2002,3835.00
5/22/2002,3835.00
5/23/2002,3835.00
5/24/2002,3835.00
5/25/2002,
5/26/2002,
5/27/2002,3835.00
5/28/2002,3835.00
5/29/2002,3835.00
5/30/2002,3835.00
5/31/2002,3835.00
6/1/2002,
6/2/2002,
6/3/2002,3835.00
6/4/2002,3835.00
6/5/2002,3835.00
6/6/2002,3835.00
6/7/2002,3835.00
6/8/2002,
6/9/2002,
6/10/2002,3835.00
6/11/2002,3835.00
6/12/2002,3835.00
6/13/2002,3835.00
6/14/2002,3835.00
6/15/2002,
6/16/2002,
6/17/2002,3835.00
6/18/2002,3835.00
6/19/2002,3835.00
6/20/2002,3835.00
6/21/2002,3835.00
6/22/2002,
6/23/2002,
6/24/2002,3835.00
6/25/2002,3835.00
6/26/2002,3835.00
6/27/2002,3835.00
6/28/2002,3835.00
6/29/2002,
6/30/2002,
7/1/2002,3835.00
7/2/2002,3835.00
7/3/2002,3835.00
7/4/2002,3835.00
7/5/2002,3835.00
7/6/2002,
7/7/2002,
7/8/2002,3835.00
7/9/2002,3835.00
7/10/2002,3835.00
7/11/2002,3835.00
7/12/2002,3835.00
7/13/2002,
7/14/2002,
7/15/2002,3835.00
7/16/2002,3835.00
7/17/2002,3835.00
7/18/2002,3835.00
7/19/2002,3835.00
7/20/2002,
7/21/2002,
7/22/2002,3835.00
7/23/2002,3835.00
7/24/2002,3835.00
7/25/2002,3835.00
7/26/2002,3835.00
7/27/2002,
7/28/2002,
7/29/2002,3835.00
7/30/2002,3835.00
7/31/2002,3835.00
8/1/2002,3835.00
8/2/2002,3835.00
8/3/2002,
8/4/2002,
